Sr. No.,Job Title,Company Name,Experience Required,Salary,Location,Job Description,Key Skills
88,Edge Developer / Engineer for Edge AI / Processing :,Cyient,,,"Noida, Uttar Pradesh","
3+ Years of experience as data engineer preferably from data science groups.
We leverage digital technologies, advanced analytics capabilities, and our domain…
",
89,newApplication Support Engineer,Tekion Corp,,,"Bengaluru, Karnataka","
Taking ownership of customer issues reported and seeing problems through to resolution.
Researching, diagnosing, troubleshooting, and identifying solutions to…
",
90,DevOps Engineer,Streak AI Technologies,,,"Bengaluru, Karnataka","
Min 1 Year of DevOps experience.
Develop, test, and deploy technologies for developing automated CI/ CD pipelines.
Strong familiarity with cloud infrastructure.
",
91,DevOps Engineer,Streak AI Technologies,,,"Bengaluru, Karnataka","
Min 1 Year of DevOps experience.
Develop, test, and deploy technologies for developing automated CI/ CD pipelines.
Strong familiarity with cloud infrastructure.
",
92,newAI/ML/DL/ Computer vision Developer / Engineer,Cyient,,,"Noida, Uttar Pradesh","
Work directly with software engineers to implement algorithms into commercial software products.
We leverage digital technologies, advanced analytics…
",
93,"newCPU DV Infra & Methodology Engineer - AI Silicon (Bangalore,...",Tenstorrent,,,"Bengaluru, Karnataka","
The person in this role will collaborate with a group of highly experienced engineers across various domains of the AI chip.
",
94,newIT System Engineer,MoEngage Inc,,,"Bengaluru, Karnataka","
We enable hyper-personalization at scale across multiple channels like mobile push, email, in-app, web push, on-site messages, and SMS.
",
95,Python Automation Engineer,Allied Media,,,"Bihar, Uttar Pradesh","
We are looking for Developers with 0 to 1year experience responsible for creating BAAR (Business Automation AI and Robotics) workflow to achieve different use…
",
96,Business Development Manager,PillarPlus,,,Remote,"
Managing the client’s request and arranging demos/meets.
Generating new leads through outbound sales methods.
Achieving monthly/quarterly sales targets.
",
97,ML & DS - Technical Content Engineer - Intern,Hacker Earth,,,"Bengaluru, Karnataka","
It takes a skill-based approach to assessment, allowing companies to automatically generate standardized tests based on various skills and then accurately…
",
98,AI - Machine learning/ Data Analytics,Ignitarium Technology Solutions,,,India,"
Proven experience as a Machine Learning Engineer or similar role.
Understanding of data structures, data modeling and software architecture.
",
99,AI Engineer,Tredence,,,"Bengaluru, Karnataka","
Degree in Computer Science, Computer, Electrical Engineering, or related fields.
6+ years’ software development experience with focus on building large scale…
",
100,newQA Engineer,NICE,,,"Pune, Maharashtra","
NICE India GTC is a strategic R&D and Operations center of NICE, employing >1900 out of a global employee base of 7000.
Work on both Unit and functional tests.
",
101,Intern - Programming - Technical Content Engineer,Hacker Earth,,,"Bengaluru, Karnataka","
HackerEarth is an AI-powered, developer assessment software that helps in measuring a developer’s skills accurately through online coding tests.
",
102,ML Engineer,Innofin Solutions Pvt. Ltd.,,,"Mumbai, Maharashtra","
Work on end-to-end data science lifecycle: from building proof-of concept models to production-ready models & work with engineers to deploy them to production.
",
103,Software Engineer (100% Remote),Bold Business,,,"Remote in New Delhi, Delhi+2 locations","
For web back-end engineers - experience in Python, relational databases, cloud platforms.
For web front-end engineers - experience in React JavaScript…
",
104,Engineering Manager,Wobot.ai,,,Remote,"
Create a versatile team of engineers and system to consistently deliver products with high quality, reliability, and a sense of urgency.
",
105,Computer Vision Engineer,Intel,,,"Bengaluru, Karnataka","
As a Computer Vision Engineer in AIPG India, you will be responsible for doing Neural network workload analysis and modelling AI accelerators and testing.
",
106,Analog Layout Engineer,IBM,,,"Bengaluru, Karnataka","
This role does design and layout of complex VLSI (very large scale integration) circuits using graphic editing tools.
Negotiate to define approaches and goals.
",
107,newEngineer- Design Verification,Cyient,,,"Bengaluru, Karnataka","
Responsible for verifying challenging ASIC/ SoC verification both pre silicon and on Emulator.
Own creation of validation test plans, develop tests and validate…
",
108,AI Engineer,iKomet Technology Solutions,,,"Chennai, Tamil Nadu","
Understand the business problem, challenge of existing technologies and areas of application for AI technologies.
Development of machine learning / NLP APIs.
",
109,newBlockchain Developer,Synergy Labs,,,"Gurgaon, Haryana","
The Artificial Intelligence, Computer Vision, Machine Learning and Deep Learning Systems that we implement are proactively aligned with the latest industry…
",
110,"newWatson Chat Bot, AI and ML Consultant",IBM,,,"Kochi, Kerala","
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…
",
111,Machine Learning Engineer,Wadhwani AI,,,"Remote in Mumbai, Maharashtra","
These can also be shared and/or owned by data engineers.
An MLE will be responsible for building robust machine learning solutions to problems of societal…
",
